Rank,Country,Population
—,Cooköarna (Nya Zeeland),17 459
—,Anguilla (Storbritannien),14 723
—,Wallis- och Futunaöarna (Frankrike),12 197
195,Nauru,10 800
196,Tuvalu,10 100
—,Saint-Barthélemy (Frankrike),9 625
—,Saint-Pierre och Miquelon (Frankrike),6 021
—,"Sankta Helena, Ascension och Tristan da Cunha (Storbritannien)",5 633
—,Montserrat (Storbritannien),4 922
—,Falklandsöarna (Storbritannien),2 840
—,Niue (Nya Zeeland),1 611
—,Tokelau (Nya Zeeland),1 285
197,Vatikanstaten,1 000
—,Pitcairnöarna (Storbritannien),50
—,Brittiska territoriet i Indiska oceanen (Storbritannien),0
—,Sydgeorgien och Sydsandwichöarna (Storbritannien),0
